system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
951,2,807.0,1112.0,1363.0,2647.0,65535.0,539.0,821.0,862.0,2223.0,65535.0,"{""type"":""Point"",""coordinates"":[29.48008081744683,49.336789618815075]}"
953,5,351.0,540.0,711.0,1477.0,65535.0,524.0,668.0,995.0,1918.0,65535.0,"{""type"":""Point"",""coordinates"":[33.225330251329645,51.471114344656996]}"
961,0,577.0,893.0,1332.0,2946.0,65535.0,421.0,630.0,642.0,2519.0,65535.0,"{""type"":""Point"",""coordinates"":[30.59763203303957,49.78218362200167]}"
963,3,889.0,1182.0,1529.0,2290.0,65535.0,831.0,1090.0,1431.0,2198.0,65535.0,"{""type"":""Point"",""coordinates"":[39.11665050679889,49.28388586216827]}"
969,1,1005.0,1477.0,2198.0,3387.0,65535.0,917.0,1308.0,1885.0,2920.0,65535.0,"{""type"":""Point"",""coordinates"":[35.189472884311776,46.412002865690425]}"
979,2,767.0,1007.0,1312.0,2208.0,65535.0,577.0,782.0,866.0,2203.0,65535.0,"{""type"":""Point"",""coordinates"":[34.36045667771917,46.98677658336666]}"
998,4,424.0,428.0,646.0,1131.0,65535.0,592.0,639.0,941.0,1248.0,65535.0,"{""type"":""Point"",""coordinates"":[36.44204918641309,48.38118889429244]}"
1006,3,556.0,711.0,951.0,1624.0,65535.0,596.0,748.0,1014.0,1651.0,65535.0,"{""type"":""Point"",""coordinates"":[36.662302284468254,48.69528607721305]}"
1009,3,498.0,725.0,966.0,2065.0,65535.0,960.0,1313.0,1727.0,2889.0,65535.0,"{""type"":""Point"",""coordinates"":[28.70950813541339,50.43859761893883]}"
1011,3,640.0,888.0,1141.0,2341.0,65535.0,507.0,625.0,867.0,1566.0,65535.0,"{""type"":""Point"",""coordinates"":[29.71949151117296,48.11060813444315]}"
