system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
5944,0,455.0,644.0,905.0,2061.0,65535.0,418.0,600.0,785.0,1795.0,65535.0,"{""type"":""Point"",""coordinates"":[36.3596043350942,49.882172503600906]}"
5947,2,516.0,783.0,1035.0,2925.0,65535.0,585.0,786.0,1084.0,2316.0,65535.0,"{""type"":""Point"",""coordinates"":[25.897734719040308,49.127861448905534]}"
5966,0,476.0,753.0,1095.0,2230.0,65535.0,482.0,679.0,906.0,1782.0,65535.0,"{""type"":""Point"",""coordinates"":[36.5528020624946,50.16166662681274]}"
5973,3,379.0,938.0,538.0,4502.0,65535.0,528.0,832.0,1067.0,2793.0,65535.0,"{""type"":""Point"",""coordinates"":[24.767326828605878,50.65475613460073]}"
5979,1,668.0,954.0,1439.0,2579.0,65535.0,833.0,1136.0,1568.0,2239.0,65535.0,"{""type"":""Point"",""coordinates"":[34.789095402766634,46.33841820180272]}"
5984,3,557.0,781.0,1140.0,2208.0,65535.0,594.0,853.0,1134.0,2339.0,65535.0,"{""type"":""Point"",""coordinates"":[37.80211151372188,48.2346486381589]}"
5985,3,556.0,832.0,1281.0,2445.0,65535.0,727.0,1078.0,1322.0,3229.0,65535.0,"{""type"":""Point"",""coordinates"":[36.7157065074199,48.02714678392842]}"
5991,0,428.0,628.0,798.0,2018.0,65535.0,481.0,644.0,843.0,1715.0,65535.0,"{""type"":""Point"",""coordinates"":[31.46298487324562,47.039429976896834]}"
5998,3,542.0,781.0,1254.0,2336.0,65535.0,658.0,942.0,1307.0,2273.0,65535.0,"{""type"":""Point"",""coordinates"":[34.92991333384798,48.70367209308906]}"
6006,0,425.0,712.0,713.0,2807.0,65535.0,660.0,920.0,1227.0,2501.0,65535.0,"{""type"":""Point"",""coordinates"":[29.392371107969044,49.11514570053574]}"
6008,3,425.0,694.0,904.0,2634.0,65535.0,779.0,1264.0,1803.0,3422.0,65535.0,"{""type"":""Point"",""coordinates"":[31.547206859333553,48.69973908622218]}"
6014,3,434.0,691.0,895.0,2285.0,65535.0,1286.0,1864.0,2603.0,4286.0,65535.0,"{""type"":""Point"",""coordinates"":[30.420424011428413,48.28979967986958]}"
6015,2,741.0,1027.0,1658.0,2824.0,65535.0,692.0,911.0,1349.0,2067.0,65535.0,"{""type"":""Point"",""coordinates"":[35.462700879752155,47.9853809635524]}"
6021,2,733.0,955.0,1311.0,2131.0,65535.0,795.0,1083.0,1490.0,2536.0,65535.0,"{""type"":""Point"",""coordinates"":[32.10363453965024,46.278413035455046]}"
6027,3,510.0,734.0,1168.0,2234.0,65535.0,994.0,1354.0,1855.0,2853.0,65535.0,"{""type"":""Point"",""coordinates"":[37.42692905930335,48.27288224216964]}"
6031,2,499.0,815.0,1029.0,3084.0,65535.0,582.0,887.0,1101.0,2583.0,65535.0,"{""type"":""Point"",""coordinates"":[24.95028826044873,50.47299187691023]}"
6033,0,434.0,730.0,579.0,4251.0,65535.0,418.0,708.0,579.0,4123.0,65535.0,"{""type"":""Point"",""coordinates"":[36.464563749147175,49.067573954460606]}"
6038,2,1287.0,1907.0,2921.0,4709.0,65535.0,1177.0,1640.0,2441.0,3690.0,65535.0,"{""type"":""Point"",""coordinates"":[35.241623416534864,47.36112075465472]}"
